,Close Price
0,1015.35
1,1012.6
2,1004.85
3,1015.15
4,1008.55
5,1000.9
6,1003.55
7,987.5
8,992.25
9,992.05
10,1008.35
11,978.0
12,975.9
13,955.45
14,952.25
15,949.9
16,915.95
17,942.45
18,953.7
19,965.75
20,976.8
21,976.6
22,965.55
23,968.0
24,979.05
25,987.7
26,968.0
27,952.1
28,945.95
29,934.2
30,912.35
31,927.5
32,933.05
33,930.2
34,928.95
35,921.95
36,960.0
37,952.45
38,936.85
39,952.1
40,966.4
41,959.15
42,947.85
43,941.55
44,937.25
45,939.2
46,943.0
47,955.85
48,954.75
49,955.45
50,963.4
51,912.2
52,904.0
53,902.0
54,892.55
55,892.05
56,886.35
57,889.15
58,913.85
59,895.9
60,886.25
61,862.3
62,860.5
63,839.15
64,834.35
65,837.9
66,851.4
67,847.45
68,877.7
69,895.1
70,872.1
71,867.55
72,863.05
73,861.05
74,866.95
75,873.05
76,848.95
77,833.05
78,835.6
79,853.75
80,849.3
81,840.15
82,856.8
83,871.2
84,869.55
85,853.45
86,852.9
87,828.95
88,907.3
89,918.85
90,952.7
91,944.35
92,950.05
93,967.05
94,934.9
95,943.05
96,966.35
97,970.1
98,984.25
99,979.4
100,987.65
101,988.1
102,1001.15
103,1001.65
104,999.3
105,995.45
106,1009.95
107,1005.8
108,1025.05
109,1045.65
110,1050.45
111,1007.5
112,1024.75
113,1022.15
114,1023.65
115,1011.4
116,997.6
117,1007.2
118,1001.55
119,987.3
120,994.8
121,1003.4
122,1015.3
123,1006.75
124,1010.3
125,1005.75
126,1000.45
127,990.75
128,999.55
129,1004.65
130,990.75
131,994.75
132,991.35
133,996.5
134,979.05
135,931.1
136,903.95
137,901.0
138,889.15
139,877.2
140,905.9
141,883.9
142,885.25
143,906.05
144,912.5
145,895.9
146,898.7
147,901.35
148,877.15
149,876.75
150,886.95
151,884.65
152,894.2
153,902.65
154,896.9
155,907.4
156,895.5
157,890.5
158,873.95
159,878.5
160,884.8
161,868.35
162,895.75
163,889.9
164,869.4
165,879.25
166,890.9
167,890.45
168,862.85
169,851.25
170,865.0
171,874.55
172,879.4
173,877.0
174,879.9
175,875.9
176,885.55
177,926.85
178,927.45
179,923.75
180,922.4
181,903.65
182,894.95
183,865.5
184,832.8
185,824.0
186,834.55
187,824.7
188,810.35
189,811.75
190,830.6
191,844.7
192,848.8
193,842.25
194,854.3
195,856.25
196,868.75
197,856.85
198,842.05
199,850.15
200,863.75
201,855.85
202,859.1
203,868.65
204,884.4
205,886.95
206,901.65
207,863.7
208,866.25
209,855.65
210,842.25
211,843.55
212,841.75
213,851.15
214,873.25
215,901.35
216,901.45
217,902.65
218,917.2
219,910.45
220,900.95
221,882.7
222,897.3
223,910.45
224,922.35
225,928.7
226,937.45
227,907.9
228,915.35
229,927.9
230,905.85
231,888.75
232,886.95
233,884.1
234,904.65
235,901.15
236,879.85
237,869.0
238,864.6
239,835.05
240,843.05
241,850.55
242,860.45
243,842.85
244,855.4
245,836.1
246,877.1
247,885.6
248,888.05
